chainage_m,lon,lat,elev_m
5731.2,76.957254,29.99006,256.092987
5743.3,76.957372,29.990097,256.036011
5755.3,76.95749,29.990134,255.869003
5767.4,76.957608,29.99017,255.860992
5779.4,76.957726,29.990205,255.679993
5791.5,76.957846,29.990238,255.354004
5801.9,76.957948,29.990267,255.847
5812.2,76.958048,29.990301,256.51001
5823.0,76.958152,29.990337,257.153015
5825.6,76.958177,29.990346,257.266998
5837.5,76.958293,29.990382,257.276001
5849.5,76.958411,29.990418,257.239014
5861.3,76.958526,29.990454,257.28299
5872.7,76.958637,29.990489,257.229004
5883.4,76.958742,29.990521,257.209991
5893.8,76.958844,29.990553,257.263
5903.8,76.958941,29.990583,257.248993
5915.5,76.959056,29.990619,257.195007
5927.6,76.959174,29.990656,257.153015
5938.0,76.959275,29.990687,257.187012
5949.9,76.959392,29.990724,257.453003
5961.8,76.959508,29.99076,257.307007
5973.8,76.959625,29.990796,257.188995
5985.8,76.959742,29.990833,257.199005
5997.1,76.959853,29.990867,257.006989
6008.0,76.959959,29.990901,257.040985
6019.0,76.960067,29.990934,256.998993
6031.1,76.960185,29.990971,257.096985
6043.3,76.960304,29.991008,257.001007
6055.0,76.960418,29.991044,257.108002
6065.5,76.960521,29.991076,257.119995
6077.6,76.960639,29.991113,257.027008
6089.4,76.960754,29.99115,256.924988
6101.7,76.960874,29.991188,256.845001
6113.7,76.960991,29.991224,256.839996
6123.9,76.961091,29.991255,256.696014
6136.1,76.96121,29.991292,256.737
6148.1,76.961327,29.991329,256.751007
6159.2,76.961436,29.991363,256.796997
6171.3,76.961554,29.9914,256.714996
6183.2,76.96167,29.991436,256.769012
6194.4,76.96178,29.991469,256.740997
6206.4,76.961898,29.991504,256.713989
6218.5,76.962017,29.99154,256.725006
6230.7,76.962136,29.991576,256.738007
6242.9,76.962256,29.991612,256.704987
6255.0,76.962374,29.991648,256.665985
6267.2,76.962494,29.991684,256.70401
6277.9,76.962599,29.991716,256.717987
6290.1,76.962718,29.991752,256.67099
6301.5,76.96283,29.991786,256.837006
6313.5,76.962948,29.991821,256.783997
6325.8,76.963068,29.991858,256.79599
6337.8,76.963186,29.991894,256.704987
6349.8,76.963303,29.99193,256.751007
6361.9,76.963422,29.991965,256.682007
6373.5,76.963536,29.992,256.605988
6385.6,76.963655,29.992035,256.572998
6397.7,76.963774,29.99207,256.574005
6409.9,76.963893,29.992106,256.548004
6422.1,76.964013,29.992141,256.505005
6434.2,76.964132,29.992177,256.5
6445.8,76.964245,29.992212,256.549011
6457.9,76.964364,29.992248,256.378998
6469.8,76.96448,29.992284,256.377014
6477.4,76.964555,29.992307,256.303009
6489.5,76.964672,29.992347,256.31601
6501.7,76.964788,29.99239,256.354004
6513.0,76.964896,29.992431,256.334991
6524.9,76.965009,29.992473,256.299011
6536.9,76.965123,29.992516,256.259003
6549.1,76.96524,29.992559,256.243011
6561.3,76.965356,29.992603,256.238007
6573.5,76.965472,29.992646,256.257996
6585.4,76.965586,29.992689,256.273987
6595.9,76.965686,29.992727,256.23999
6606.7,76.965789,29.992765,256.161987
6617.4,76.965891,29.992803,256.097992
6629.3,76.966005,29.992845,255.973999
6640.1,76.966108,29.992883,255.914993
6651.6,76.966217,29.992924,255.945999
6663.8,76.966334,29.992967,255.977005
6676.0,76.96645,29.99301,255.942001
6687.8,76.966563,29.993051,255.850006
6699.8,76.966678,29.993094,255.807007
6711.7,76.966791,29.993136,255.850998
6723.7,76.966906,29.993179,255.921997
6735.7,76.96702,29.993222,256.050995
6747.7,76.967135,29.993264,255.979004
6759.8,76.96725,29.993307,255.917007
6771.9,76.967365,29.99335,255.964005
6784.0,76.967481,29.993393,255.975998
6796.2,76.967597,29.993436,255.891998
6808.2,76.967712,29.993479,255.960999
6820.2,76.967827,29.993521,255.985992
6831.9,76.967938,29.993563,255.975998
6843.7,76.96805,29.993605,256.009003
6855.4,76.968162,29.993647,256.0
6867.3,76.968276,29.993689,255.878998
6879.4,76.968391,29.993732,255.891006
6891.3,76.968505,29.993774,255.873001
6902.2,76.968609,29.993812,255.807007
6912.5,76.968707,29.993848,255.707993
6922.6,76.968804,29.993884,255.742004
6934.9,76.968922,29.993927,255.677994
6946.9,76.969036,29.99397,255.660004
6958.5,76.969146,29.994011,255.695999
6969.6,76.969253,29.99405,255.578995
6981.8,76.969369,29.994093,255.615997
6993.9,76.969485,29.994136,255.505997
7005.8,76.969598,29.994178,255.459
7017.9,76.969714,29.994221,255.511002
7028.2,76.969812,29.994257,255.451004
7040.2,76.969927,29.9943,255.488007
7052.1,76.970041,29.994341,255.494995
7064.1,76.970155,29.994384,255.457001
7075.1,76.97026,29.994422,255.348007
7086.1,76.970365,29.994462,255.352997
7098.3,76.970481,29.994505,255.358994
7110.2,76.970594,29.994548,255.332001
7122.3,76.97071,29.994591,254.979004
7133.6,76.970818,29.994631,254.843994
7143.7,76.970915,29.994666,254.934998
7148.0,76.970956,29.994681,255.014008
7152.9,76.971003,29.994698,255.106995
7162.0,76.97109,29.99473,255.214005
