chainage_m,lon,lat,elev_m
144946.4,78.114553,29.631006,230.052994
144958.7,78.114623,29.630914,230.296997
144970.9,78.114692,29.630822,230.632004
144983.1,78.114763,29.630731,231.084
144995.3,78.114834,29.63064,231.671005
145007.5,78.114904,29.630549,232.166
145019.7,78.114973,29.630457,232.432007
145031.8,78.115042,29.630366,232.451004
145044.1,78.115112,29.630274,232.473999
145056.3,78.115181,29.630182,232.639999
145068.6,78.115251,29.63009,233.324005
145079.0,78.11531,29.630012,233.677002
145091.1,78.115378,29.62992,234.237
145103.4,78.115449,29.629829,234.201996
145115.6,78.115522,29.629739,233.759003
145127.8,78.115596,29.62965,233.781006
145140.0,78.115667,29.629559,234.134995
145152.3,78.115738,29.629468,234.220001
145164.5,78.115809,29.629377,234.087997
145176.8,78.115879,29.629285,233.994003
145189.0,78.115948,29.629193,233.852997
145201.2,78.116019,29.629102,233.576004
145213.5,78.116091,29.629011,233.485992
145225.7,78.116163,29.628921,233.731003
145237.9,78.116234,29.62883,234.673996
145250.1,78.116304,29.628739,235.955994
145262.3,78.116373,29.628647,236.602005
145274.5,78.116442,29.628555,236.669998
145286.7,78.11651,29.628462,236.669998
145299.0,78.116583,29.628372,236.951996
145311.2,78.116677,29.628299,237.001007
145323.3,78.116792,29.628256,237.233002
145335.4,78.116917,29.628245,237.628998
145347.5,78.117041,29.628258,237.919006
145359.6,78.117163,29.628284,238.052002
145367.4,78.117241,29.628301,238.139999
145379.5,78.117363,29.628327,238.328003
145391.7,78.117486,29.628351,238.182999
145403.9,78.11761,29.628372,238.324997
145416.1,78.117733,29.628394,238.464996
145428.3,78.117857,29.628416,238.488007
145440.3,78.117979,29.628437,238.518997
145452.6,78.118103,29.628459,238.503006
145464.8,78.118227,29.62848,238.518005
145476.5,78.118346,29.628501,238.425995
145488.6,78.118469,29.628523,238.419998
145500.8,78.118592,29.628545,238.395996
145512.9,78.118715,29.628566,238.432007
145525.1,78.118839,29.628588,238.401993
145537.1,78.118961,29.628608,238.460999
145549.3,78.119084,29.62863,238.570007
145561.4,78.119207,29.628651,238.651993
145573.5,78.11933,29.628673,238.667999
145585.8,78.119454,29.628695,238.742996
145597.9,78.119577,29.628718,238.820999
145610.1,78.119701,29.62874,238.809998
145622.3,78.119824,29.628761,238.876007
145633.8,78.119941,29.628782,239.076004
145646.0,78.120065,29.628804,239.022995
145658.2,78.120188,29.628826,239.013
145670.1,78.120309,29.628847,239.074997
145682.4,78.120433,29.62887,239.287994
145694.4,78.120555,29.628892,239.335999
145706.5,78.120678,29.628914,239.261993
145718.8,78.120802,29.628936,239.309006
145730.9,78.120925,29.628958,239.421997
145743.1,78.121049,29.62898,239.496994
145755.4,78.121173,29.629002,239.529999
145767.5,78.121296,29.629024,239.539993
145779.7,78.12142,29.629046,239.584
145791.8,78.121542,29.629067,239.684998
145803.9,78.121665,29.629088,239.884995
145816.1,78.121789,29.62911,239.858002
145828.3,78.121912,29.629133,240.020996
145840.5,78.122036,29.629155,240.261993
145852.7,78.12216,29.629177,240.298996
145864.9,78.122283,29.629199,240.272995
145877.1,78.122407,29.62922,240.371994
145889.3,78.122531,29.629242,240.554001
145901.4,78.122654,29.629263,240.729004
145913.7,78.122778,29.629285,240.979996
145925.9,78.122902,29.629306,241.522003
145937.9,78.123024,29.629325,241.576996
145950.0,78.123148,29.629344,241.563995
145962.2,78.123272,29.629364,241.634995
145974.5,78.123397,29.629384,241.651993
145986.6,78.12352,29.629404,241.625
145998.8,78.123644,29.629425,241.919006
146011.0,78.123768,29.629446,242.550995
146023.1,78.123891,29.629466,243.001999
146035.3,78.124015,29.629485,243.184006
146047.4,78.124138,29.629505,244.214005
146059.4,78.12426,29.629524,245.819
146071.5,78.124384,29.629544,246.112
146083.7,78.124507,29.629565,244.895004
146095.7,78.124629,29.629585,243.966995
146107.9,78.124753,29.629606,244.072006
146120.1,78.124877,29.629626,244.856003
146132.2,78.125,29.629646,246.324005
146144.3,78.125123,29.629666,247.998993
146156.4,78.125246,29.629688,249.164001
146168.6,78.12537,29.62971,249.897995
146180.8,78.125493,29.629734,250.272995
146185.2,78.125537,29.629742,250.291
146197.3,78.12566,29.629766,250.238998
146209.5,78.125784,29.629785,250.300995
146221.7,78.125908,29.629804,250.570007
